algorithm,iteration,model_params,val_accuracy
Tabu,0,"{""hidden_dim"": 64, ""dropout"": 0.2892842952595291, ""lr"": 0.0037087089494036605}",0.776
Tabu,0,"{""hidden_dim"": 256, ""dropout"": 0.4962670978670703, ""lr"": 0.0027722960153669135}",0.772
Tabu,0,"{""hidden_dim"": 256, ""dropout"": 0.3687687278741082, ""lr"": 0.00024600637524654467}",0.732
Tabu,0,"{""hidden_dim"": 64, ""dropout"": 0.2930643573562958, ""lr"": 0.003049891772344903}",0.788
Tabu,0,"{""hidden_dim"": 256, ""dropout"": 0.2795350602746594, ""lr"": 0.0032844337451196632}",0.785
Tabu,1,"{""hidden_dim"": 256, ""dropout"": 0.3678079283846635, ""lr"": 0.0023011243267908824}",0.753
Tabu,1,"{""hidden_dim"": 128, ""dropout"": 0.5237721826711306, ""lr"": 0.00013184392242249898}",0.677
Tabu,1,"{""hidden_dim"": 64, ""dropout"": 0.47925575799529074, ""lr"": 0.00176722753093816}",0.756
Tabu,1,"{""hidden_dim"": 64, ""dropout"": 0.2861255048430355, ""lr"": 0.0038411212321319667}",0.773
Tabu,1,"{""hidden_dim"": 64, ""dropout"": 0.23709833735205918, ""lr"": 0.0005739102464839737}",0.757
Tabu,2,"{""hidden_dim"": 128, ""dropout"": 0.4414904125467564, ""lr"": 0.004054928539044463}",0.77
Tabu,2,"{""hidden_dim"": 256, ""dropout"": 0.38376995186873697, ""lr"": 0.0007116481979807258}",0.743
Tabu,2,"{""hidden_dim"": 128, ""dropout"": 0.2315200792313833, ""lr"": 0.0015365735788947551}",0.77
Tabu,2,"{""hidden_dim"": 256, ""dropout"": 0.4474079009456984, ""lr"": 0.004322363811522808}",0.848
Tabu,2,"{""hidden_dim"": 256, ""dropout"": 0.27691543610266395, ""lr"": 0.00044082022923633046}",0.735
Tabu,3,"{""hidden_dim"": 256, ""dropout"": 0.29115931026061875, ""lr"": 0.0015180010216503251}",0.792
Tabu,3,"{""hidden_dim"": 64, ""dropout"": 0.5421270884060587, ""lr"": 0.0043457699671008215}",0.795
Tabu,3,"{""hidden_dim"": 128, ""dropout"": 0.31118944124403686, ""lr"": 0.0032148537768955606}",0.785
Tabu,3,"{""hidden_dim"": 128, ""dropout"": 0.26506163886243395, ""lr"": 0.0018408264311148552}",0.781
Tabu,3,"{""hidden_dim"": 256, ""dropout"": 0.3067911288196453, ""lr"": 0.004689607479791221}",0.79
Tabu,4,"{""hidden_dim"": 256, ""dropout"": 0.22856100383141933, ""lr"": 0.003211393612165595}",0.836
Tabu,4,"{""hidden_dim"": 256, ""dropout"": 0.49165071918013964, ""lr"": 0.0009006722194334491}",0.756
Tabu,4,"{""hidden_dim"": 128, ""dropout"": 0.3079791307137112, ""lr"": 0.004634416780143967}",0.779
Tabu,4,"{""hidden_dim"": 256, ""dropout"": 0.42277989750985845, ""lr"": 0.0034546098298503854}",0.83
Tabu,4,"{""hidden_dim"": 64, ""dropout"": 0.2916192287856417, ""lr"": 0.00025729119512978504}",0.763
Tabu,5,"{""hidden_dim"": 128, ""dropout"": 0.3604659148089316, ""lr"": 0.0004243241655365814}",0.735
Tabu,5,"{""hidden_dim"": 256, ""dropout"": 0.5505470505890675, ""lr"": 0.0016419216159125419}",0.843
Tabu,5,"{""hidden_dim"": 256, ""dropout"": 0.3996925037969109, ""lr"": 0.004434947454044842}",0.813
Tabu,5,"{""hidden_dim"": 256, ""dropout"": 0.3835407410349595, ""lr"": 0.0013979128158404571}",0.74
Tabu,5,"{""hidden_dim"": 64, ""dropout"": 0.49799559283664263, ""lr"": 0.002740988719369723}",0.786
Tabu,6,"{""hidden_dim"": 256, ""dropout"": 0.4338343960894162, ""lr"": 0.004499332129652137}",0.8
Tabu,6,"{""hidden_dim"": 128, ""dropout"": 0.3447985774854444, ""lr"": 0.004986896312146889}",0.807
Tabu,6,"{""hidden_dim"": 64, ""dropout"": 0.40381051747058583, ""lr"": 0.0005454561196515901}",0.759
Tabu,6,"{""hidden_dim"": 64, ""dropout"": 0.5444411638666663, ""lr"": 0.0008489224648064792}",0.77
Tabu,6,"{""hidden_dim"": 64, ""dropout"": 0.5168317457451856, ""lr"": 0.0021685838373184515}",0.763
Tabu,7,"{""hidden_dim"": 64, ""dropout"": 0.3539069246698, ""lr"": 0.0030198532989695274}",0.775
Tabu,7,"{""hidden_dim"": 128, ""dropout"": 0.41164573803965476, ""lr"": 0.004858284050306729}",0.787
Tabu,7,"{""hidden_dim"": 64, ""dropout"": 0.4721133641026074, ""lr"": 0.0006613035406200646}",0.765
Tabu,7,"{""hidden_dim"": 256, ""dropout"": 0.5003511198366439, ""lr"": 0.0038661337900214848}",0.825
Tabu,7,"{""hidden_dim"": 128, ""dropout"": 0.2446208694383506, ""lr"": 0.002230349728278614}",0.767
Tabu,8,"{""hidden_dim"": 128, ""dropout"": 0.20129812644069173, ""lr"": 0.0036382511004185627}",0.823
Tabu,8,"{""hidden_dim"": 256, ""dropout"": 0.3053556203004363, ""lr"": 0.0025528719539464617}",0.842
Tabu,8,"{""hidden_dim"": 64, ""dropout"": 0.40307266984173007, ""lr"": 0.0006214130317087544}",0.738
Tabu,8,"{""hidden_dim"": 256, ""dropout"": 0.31937791657945314, ""lr"": 0.003230852524843425}",0.816
Tabu,8,"{""hidden_dim"": 256, ""dropout"": 0.2795644407058932, ""lr"": 0.001932177877696625}",0.77
Tabu,9,"{""hidden_dim"": 64, ""dropout"": 0.41575161204785027, ""lr"": 0.003915269745289735}",0.776
Tabu,9,"{""hidden_dim"": 256, ""dropout"": 0.5673973977582809, ""lr"": 0.003034828463855122}",0.816
Tabu,9,"{""hidden_dim"": 128, ""dropout"": 0.20779069695433294, ""lr"": 0.004652583219696624}",0.774
Tabu,9,"{""hidden_dim"": 128, ""dropout"": 0.2957809241352235, ""lr"": 0.0012802708029914422}",0.761
Tabu,9,"{""hidden_dim"": 256, ""dropout"": 0.5787797781191977, ""lr"": 0.000519701915132606}",0.712
Tabu,10,"{""hidden_dim"": 128, ""dropout"": 0.5264093013680353, ""lr"": 0.004892124019018938}",0.815
Tabu,10,"{""hidden_dim"": 256, ""dropout"": 0.5063337717227951, ""lr"": 0.0007291181760488377}",0.756
Tabu,10,"{""hidden_dim"": 128, ""dropout"": 0.5787394718819963, ""lr"": 0.0009091220989732255}",0.742
Tabu,10,"{""hidden_dim"": 256, ""dropout"": 0.548973216434103, ""lr"": 0.0021733759069843457}",0.809
Tabu,10,"{""hidden_dim"": 64, ""dropout"": 0.5715653972008707, ""lr"": 0.0038007994635154466}",0.764
Tabu,11,"{""hidden_dim"": 256, ""dropout"": 0.28046042535587834, ""lr"": 0.0016274098273743852}",0.805
Tabu,11,"{""hidden_dim"": 256, ""dropout"": 0.4599512230557814, ""lr"": 0.0022466904111810696}",0.821
Tabu,11,"{""hidden_dim"": 256, ""dropout"": 0.38059445655645185, ""lr"": 0.001314737506963439}",0.746
Tabu,11,"{""hidden_dim"": 64, ""dropout"": 0.33523422485898213, ""lr"": 0.002982712720440443}",0.772
Tabu,11,"{""hidden_dim"": 64, ""dropout"": 0.4353760457641404, ""lr"": 0.00013523511102695834}",0.599
Tabu,12,"{""hidden_dim"": 256, ""dropout"": 0.45244118290803953, ""lr"": 0.0012218147406746565}",0.742
Tabu,12,"{""hidden_dim"": 64, ""dropout"": 0.5438541601014986, ""lr"": 0.00044720101445440186}",0.754
Tabu,12,"{""hidden_dim"": 64, ""dropout"": 0.3113909055858188, ""lr"": 0.002478531045837404}",0.747
Tabu,12,"{""hidden_dim"": 256, ""dropout"": 0.25292473949001, ""lr"": 0.004684019778845288}",0.764
Tabu,12,"{""hidden_dim"": 256, ""dropout"": 0.43048465988835993, ""lr"": 0.0012906864877390502}",0.778
Tabu,13,"{""hidden_dim"": 128, ""dropout"": 0.5229987991066574, ""lr"": 0.0010330085803732006}",0.759
Tabu,13,"{""hidden_dim"": 64, ""dropout"": 0.4635930998058652, ""lr"": 0.0018360580762888136}",0.757
Tabu,13,"{""hidden_dim"": 128, ""dropout"": 0.38680986721467, ""lr"": 0.003672471662353268}",0.799
Tabu,13,"{""hidden_dim"": 256, ""dropout"": 0.46138219530631663, ""lr"": 0.003266280781345423}",0.782
Tabu,13,"{""hidden_dim"": 64, ""dropout"": 0.3610485128409075, ""lr"": 0.0017625827664353195}",0.755
Tabu,14,"{""hidden_dim"": 64, ""dropout"": 0.29946253356811425, ""lr"": 0.0010320236513599763}",0.763
