iteration,best_score
0,-0.1533979448405179
1,-0.15261389992453836
2,-0.15261389992453836
3,-0.15211224326720604
4,-0.14664105194456437
5,-0.14664105194456437
6,-0.14664105194456437
7,-0.14664105194456437
8,-0.14664105194456437
9,-0.14664105194456437
10,-0.14664105194456437
11,-0.14664105194456437
12,-0.14565188832142772
13,-0.14565188832142772
14,-0.14565188832142772
15,-0.14469521571146815
16,-0.14469521571146815
17,-0.14469521571146815
18,-0.14320594386050575
19,-0.14320594386050575
20,-0.14012991009574188
21,-0.14012991009574188
22,-0.14012991009574188
23,-0.14012991009574188
24,-0.14012991009574188
